USN,Section,Batch,Sem
1BI23CS189,D,2023,1
1BI23CS197,D,2023,1
1BI23CS199,D,2023,1
1BI23CS200,D,2023,1
1BI23CS205,D,2023,1
1BI23CS206,D,2023,1
1BI23CS207,D,2023,1
1BI23CS210,D,2023,1
1BI23CS218,D,2023,1
1BI23CS224,D,2023,1
1BI23CS226,D,2023,1
1BI23CS230,D,2023,1
1BI23CS232,D,2023,1
1BI23CS234,D,2023,1
1BI23CS237,D,2023,1
1BI23CS238,D,2023,1
1BI23CS242,D,2023,1
1BI23CS244,D,2023,1
1BI23CS041,D,2023,1
1BI23CS053,D,2023,1
1BI23CS202,D,2023,1
1BI23CS131,D,2023,1
1BI23CS136,D,2023,1
1BI23CS204,D,2023,1
1BI23CS150,D,2023,1
1BI23CS028,D,2023,1
1BI23CS231,D,2023,1
1BI23CS190,D,2023,1
1BI23CS183,D,2023,1
1BI23CS069,D,2023,1
1BI23CS124,D,2023,1
1BI23CS123,D,2023,1
1BI23CS223,D,2023,1
1BI23CS215,D,2023,1
1BI23CS047,D,2023,1
1BI23CS191,D,2023,1
1BI23CS002,D,2023,1
1BI23CS151,D,2023,1
